transaction_id,date,amount,merchant,account_id
T097,2023-12-01 08:52:00,167.76,Google Cloud,ACC_103
T128,2023-12-01 09:22:00,134.2,Staples,ACC_105
T061,2023-12-01 11:55:00,199.12,Staples,ACC_101
T072,2023-12-01 17:21:00,116.62,Google Cloud,ACC_103
T199,2023-12-01 17:45:00,103.75,Staples,ACC_101
T212,2023-12-02 09:34:00,129.55,Google Cloud,ACC_100
T170,2023-12-02 11:25:00,119.63,Google Cloud,ACC_102
T077,2023-12-02 11:46:00,16.97,Staples,ACC_100
T121,2023-12-02 13:59:00,163.93,Google Cloud,ACC_105
T071,2023-12-02 15:53:00,19.56,Staples,ACC_103
T026,2023-12-02 16:43:00,54.43,AWS,ACC_101
T196,2023-12-02 17:14:00,199.34,Office Depot,ACC_104
T147,2023-12-02 17:18:00,238.77,Office Depot,ACC_101
T066,2023-12-03 12:15:00,209.37,Google Cloud,ACC_102
T211,2023-12-03 15:13:00,219.86,AWS,ACC_101
T087,2023-12-03 15:45:00,90.96,Starbucks,ACC_104
T070,2023-12-03 15:47:00,39.71,Staples,ACC_100
T158,2023-12-03 15:47:00,128.53,Starbucks,ACC_102
T095,2023-12-03 17:13:00,132.41,Google Cloud,ACC_101
T189,2023-12-03 18:46:00,27.07,Staples,ACC_100
T082,2023-12-04 08:30:00,158.67,Google Cloud,ACC_100
T202,2023-12-04 09:20:00,42.0,Starbucks,ACC_105
T173,2023-12-04 11:13:00,35.19,Google Cloud,ACC_105
T108,2023-12-04 13:30:00,246.07,Lunch Place,ACC_100
T052,2023-12-04 14:32:00,7.88,Starbucks,ACC_103
T036,2023-12-04 14:49:00,181.73,Uber,ACC_102
T035,2023-12-04 15:42:00,195.78,Starbucks,ACC_104
T107,2023-12-04 16:30:00,24.51,Staples,ACC_101
T114,2023-12-05 09:20:00,141.65,Starbucks,ACC_100
T044,2023-12-05 11:00:00,232.71,Staples,ACC_100
T122,2023-12-05 11:43:00,94.74,Office Depot,ACC_100
T186,2023-12-05 14:02:00,121.12,AWS,ACC_103
T213,2023-12-05 15:14:00,38.65,Google Cloud,ACC_100
T155,2023-12-06 09:28:00,160.03,Staples,ACC_105
T106,2023-12-06 14:55:00,231.05,Uber,ACC_103
T143,2023-12-06 15:37:00,143.27,Staples,ACC_104
T203,2023-12-06 16:43:00,179.62,Uber,ACC_102
T111,2023-12-07 10:51:00,34.93,Uber,ACC_105
T054,2023-12-07 11:09:00,130.12,Staples,ACC_102
