transaction_id,date,amount,merchant,account_id
T003,2023-11-01 10:15:00,5000.0,Microsoft Azure,ACC_CORP_01
T146,2023-11-01 15:28:00,130.94,Starbucks,ACC_103
T095,2023-11-02 11:31:00,159.19,Google Cloud,ACC_104
T050,2023-11-02 12:54:00,19.37,Staples,ACC_103
T125,2023-11-02 12:57:00,92.79,Starbucks,ACC_100
T015,2023-11-02 13:05:00,151.75,Office Depot,ACC_104
T159,2023-11-02 16:12:00,104.89,Lunch Place,ACC_101
T140,2023-11-03 11:46:00,11.98,Starbucks,ACC_100
T122,2023-11-04 10:37:00,158.62,Starbucks,ACC_101
T156,2023-11-04 14:34:00,193.73,Uber,ACC_104
T139,2023-11-05 09:47:00,66.57,Staples,ACC_105
T043,2023-11-06 09:58:00,24.27,Office Depot,ACC_101
T197,2023-11-06 14:55:00,188.0,AWS,ACC_103
T081,2023-11-07 09:38:00,13.98,Starbucks,ACC_100
T179,2023-11-07 15:31:00,146.99,Staples,ACC_103
T208,2023-11-07 15:38:00,24.1,Lunch Place,ACC_101
T202,2023-11-08 12:19:00,116.71,Staples,ACC_105
T155,2023-11-09 09:29:00,88.2,Staples,ACC_101
T119,2023-11-09 09:58:00,15.1,Office Depot,ACC_100
T170,2023-11-09 13:09:00,222.02,Starbucks,ACC_101
T036,2023-11-09 15:09:00,196.21,Office Depot,ACC_104
T191,2023-11-10 09:11:00,173.14,Lunch Place,ACC_100
T101,2023-11-10 09:33:00,32.44,Starbucks,ACC_103
T083,2023-11-10 18:17:00,44.42,Staples,ACC_104
T075,2023-11-11 08:48:00,93.44,Starbucks,ACC_100
T190,2023-11-12 13:11:00,230.42,AWS,ACC_104
T131,2023-11-12 15:08:00,165.74,Staples,ACC_104
T087,2023-11-12 15:51:00,29.28,Starbucks,ACC_102
T057,2023-11-12 17:52:00,145.15,Uber,ACC_104
T011,2023-11-13 08:27:00,73.43,Office Depot,ACC_101
T068,2023-11-13 11:29:00,59.63,Lunch Place,ACC_100
T157,2023-11-13 17:03:00,139.42,Staples,ACC_100
T169,2023-11-14 12:57:00,92.07,Uber,ACC_105
T106,2023-11-14 14:00:00,133.0,Office Depot,ACC_104
T039,2023-11-15 08:06:00,77.1,Office Depot,ACC_105
T209,2023-11-15 12:08:00,6.21,Office Depot,ACC_102
T069,2023-11-16 11:04:00,31.98,Google Cloud,ACC_102
T058,2023-11-16 11:12:00,31.67,Lunch Place,ACC_100
T046,2023-11-16 13:52:00,64.27,AWS,ACC_105
T182,2023-11-16 17:55:00,123.79,Lunch Place,ACC_103
T034,2023-11-17 09:25:00,104.69,Google Cloud,ACC_101
T177,2023-11-17 12:02:00,155.3,Staples,ACC_100
T116,2023-11-17 13:56:00,152.54,Office Depot,ACC_101
T130,2023-11-18 14:18:00,185.42,Google Cloud,ACC_104
T164,2023-11-18 16:16:00,81.12,AWS,ACC_102
T114,2023-11-18 17:18:00,153.16,Starbucks,ACC_102
T065,2023-11-19 16:58:00,160.52,AWS,ACC_102
T074,2023-11-21 09:13:00,12.9,Office Depot,ACC_101
T047,2023-11-21 17:19:00,218.57,Office Depot,ACC_104
T147,2023-11-21 18:50:00,181.24,Google Cloud,ACC_101
T102,2023-11-22 08:19:00,105.8,AWS,ACC_101
T088,2023-11-22 09:08:00,170.32,Lunch Place,ACC_105
T158,2023-11-22 10:12:00,112.17,Lunch Place,ACC_105
T080,2023-11-23 10:07:00,248.51,Uber,ACC_100
T030,2023-11-23 11:48:00,173.74,Starbucks,ACC_103
T124,2023-11-23 15:52:00,20.82,Google Cloud,ACC_103
T138,2023-11-24 12:05:00,223.37,Office Depot,ACC_105
T133,2023-11-24 13:19:00,18.42,Staples,ACC_104
T135,2023-11-24 17:27:00,31.27,Google Cloud,ACC_104
