transaction_id,date,amount,merchant,account_id
T024,2023-12-01 08:55:00,221.34,Starbucks,ACC_104
T120,2023-12-01 09:54:00,65.72,Lunch Place,ACC_104
T201,2023-12-01 13:36:00,144.22,Office Depot,ACC_103
T081,2023-12-01 13:45:00,171.05,Office Depot,ACC_105
T190,2023-12-01 16:55:00,38.5,Staples,ACC_103
T062,2023-12-01 17:10:00,209.71,Google Cloud,ACC_100
T066,2023-12-03 09:01:00,42.67,Uber,ACC_104
T107,2023-12-03 10:37:00,159.35,Office Depot,ACC_102
T010,2023-12-03 10:37:00,51.12,Google Cloud,ACC_100
T113,2023-12-03 15:35:00,101.12,Staples,ACC_103
T105,2023-12-04 11:25:00,159.55,Lunch Place,ACC_101
T102,2023-12-04 12:52:00,232.46,Lunch Place,ACC_100
T099,2023-12-05 08:23:00,235.62,Google Cloud,ACC_105
T009,2023-12-05 16:10:00,236.11,Staples,ACC_103
T093,2023-12-06 09:45:00,195.25,Office Depot,ACC_104
T156,2023-12-06 14:46:00,243.91,Uber,ACC_100
T143,2023-12-06 16:53:00,72.17,Lunch Place,ACC_103
T123,2023-12-07 09:50:00,6.19,Starbucks,ACC_100
T079,2023-12-07 10:10:00,63.35,Starbucks,ACC_104
T153,2023-12-07 12:00:00,32.91,Starbucks,ACC_105
T051,2023-12-07 12:07:00,15.44,Starbucks,ACC_103
T183,2023-12-07 12:08:00,70.65,Uber,ACC_100
T137,2023-12-07 13:34:00,8.0,Office Depot,ACC_101
T096,2023-12-07 16:35:00,87.55,Staples,ACC_102
T168,2023-12-07 18:07:00,13.41,Staples,ACC_104
T181,2023-12-08 14:28:00,83.32,Starbucks,ACC_102
T133,2023-12-09 08:24:00,166.59,Staples,ACC_104
T085,2023-12-10 08:17:00,203.36,Uber,ACC_103
T160,2023-12-11 18:10:00,7.35,AWS,ACC_102
T198,2023-12-12 14:43:00,72.9,Starbucks,ACC_104
T067,2023-12-12 15:13:00,71.53,AWS,ACC_101
T108,2023-12-13 11:03:00,51.89,AWS,ACC_100
T178,2023-12-13 13:01:00,88.15,Google Cloud,ACC_102
T154,2023-12-13 13:41:00,150.28,Lunch Place,ACC_102
T144,2023-12-13 14:26:00,82.6,Starbucks,ACC_101
T063,2023-12-13 14:43:00,39.24,Google Cloud,ACC_103
T056,2023-12-14 11:55:00,133.48,Google Cloud,ACC_102
T205,2023-12-14 12:36:00,33.77,Google Cloud,ACC_102
T122,2023-12-14 18:11:00,90.34,Office Depot,ACC_104
T141,2023-12-14 18:30:00,60.84,Office Depot,ACC_102
T025,2023-12-16 14:22:00,55.15,Office Depot,ACC_102
T042,2023-12-16 16:53:00,121.22,Staples,ACC_103
T060,2023-12-17 10:48:00,172.48,Google Cloud,ACC_105
T101,2023-12-17 16:58:00,172.89,AWS,ACC_101
T064,2023-12-18 09:09:00,247.19,Office Depot,ACC_104
T086,2023-12-18 15:15:00,224.16,AWS,ACC_101
T182,2023-12-18 17:54:00,210.68,Staples,ACC_104
T131,2023-12-19 09:18:00,132.67,Google Cloud,ACC_100
T136,2023-12-19 13:56:00,80.69,Staples,ACC_103
T142,2023-12-19 15:13:00,46.16,Lunch Place,ACC_102
T174,2023-12-19 16:15:00,141.78,Uber,ACC_103
T104,2023-12-19 17:24:00,146.2,Starbucks,ACC_101
T146,2023-12-20 08:32:00,11.42,Lunch Place,ACC_101
T112,2023-12-20 14:25:00,232.72,Lunch Place,ACC_100
T121,2023-12-20 16:10:00,8.83,Google Cloud,ACC_104
T007,2023-12-21 15:19:00,29.24,Lunch Place,ACC_105
T158,2023-12-21 18:36:00,71.76,Starbucks,ACC_104
T032,2023-12-22 08:02:00,245.78,Google Cloud,ACC_100
T134,2023-12-22 18:35:00,219.99,Google Cloud,ACC_104
T203,2023-12-23 08:33:00,190.39,Staples,ACC_103
T165,2023-12-23 09:06:00,172.76,AWS,ACC_103
T020,2023-12-23 14:36:00,213.17,Uber,ACC_102
T041,2023-12-24 10:35:00,185.29,Staples,ACC_103
T206,2023-12-24 12:00:00,211.2,AWS,ACC_104
T111,2023-12-24 12:30:00,195.18,Lunch Place,ACC_103
T152,2023-12-24 12:43:00,93.8,Lunch Place,ACC_105
T155,2023-12-24 14:31:00,134.49,Office Depot,ACC_103
T059,2023-12-26 10:41:00,190.21,Office Depot,ACC_102
T185,2023-12-26 11:47:00,97.91,Staples,ACC_101
T195,2023-12-26 16:43:00,195.78,Starbucks,ACC_101
T202,2023-12-27 11:48:00,203.58,Google Cloud,ACC_104
T021,2023-12-27 13:33:00,145.88,Starbucks,ACC_102
T199,2023-12-28 08:13:00,230.38,AWS,ACC_100
T052,2023-12-29 09:09:00,72.99,AWS,ACC_105
T034,2023-12-29 10:24:00,231.76,Starbucks,ACC_105
T043,2023-12-29 12:01:00,231.53,Starbucks,ACC_103
T076,2023-12-29 14:04:00,164.95,Lunch Place,ACC_101
T179,2023-12-29 15:07:00,91.19,Starbucks,ACC_103
T130,2023-12-29 16:28:00,58.52,AWS,ACC_105
T084,2023-12-29 16:48:00,20.86,Office Depot,ACC_104
T115,2023-12-29 16:52:00,14.81,Lunch Place,ACC_104
T022,2023-12-30 10:59:00,230.27,Uber,ACC_102
T031,2023-12-30 12:20:00,190.24,Lunch Place,ACC_100
T011,2023-12-30 17:16:00,107.11,Office Depot,ACC_105
T088,2023-12-30 18:03:00,7.67,Uber,ACC_102
T030,2023-12-31 09:33:00,162.57,Google Cloud,ACC_105
T083,2023-12-31 09:54:00,77.68,AWS,ACC_102
T035,2023-12-31 12:53:00,32.79,Office Depot,ACC_105
T125,2023-12-31 14:24:00,9.17,Google Cloud,ACC_105
T184,2023-12-31 15:29:00,224.32,Staples,ACC_102
T073,2024-01-01 09:00:00,237.74,Starbucks,ACC_100
T193,2024-01-01 15:12:00,82.28,Lunch Place,ACC_102
T046,2024-01-01 16:59:00,48.7,Office Depot,ACC_103
T090,2024-01-02 10:04:00,85.78,Lunch Place,ACC_103
T127,2024-01-02 12:54:00,63.66,Lunch Place,ACC_103
T097,2024-01-02 14:27:00,163.71,Office Depot,ACC_101
T117,2024-01-02 15:51:00,108.82,Starbucks,ACC_105
T148,2024-01-02 17:38:00,48.42,Uber,ACC_101
T080,2024-01-02 17:45:00,238.13,Staples,ACC_105
T065,2024-01-03 09:09:00,241.66,Uber,ACC_105
T170,2024-01-03 15:31:00,138.7,Staples,ACC_105
T129,2024-01-03 17:43:00,248.23,Google Cloud,ACC_105
T100,2024-01-04 08:05:00,129.77,Staples,ACC_101
T139,2024-01-04 16:54:00,193.98,AWS,ACC_104
T057,2024-01-04 18:58:00,179.58,AWS,ACC_100
T145,2024-01-05 11:44:00,144.04,Staples,ACC_101
T173,2024-01-05 17:07:00,217.36,Starbucks,ACC_102
T132,2024-01-06 08:08:00,54.28,Uber,ACC_105
T116,2024-01-06 15:25:00,57.89,AWS,ACC_105
T072,2024-01-07 11:34:00,74.8,Uber,ACC_103
T071,2024-01-07 16:20:00,78.3,Staples,ACC_105
T048,2024-01-08 08:41:00,72.99,Uber,ACC_101
T089,2024-01-08 15:55:00,202.14,AWS,ACC_104
T036,2024-01-08 17:23:00,198.03,Office Depot,ACC_105
T045,2024-01-09 11:31:00,71.68,Uber,ACC_105
T192,2024-01-09 15:27:00,20.14,Staples,ACC_100
T118,2024-01-10 08:52:00,80.14,AWS,ACC_103
T110,2024-01-10 09:25:00,209.44,Lunch Place,ACC_102
T055,2024-01-10 10:27:00,95.73,Staples,ACC_102
T053,2024-01-10 11:12:00,127.81,AWS,ACC_104
