transaction_id,date,amount,merchant,account_id
T234,2024-01-01 08:08:00,23.98,Lunch Place,ACC_200
T057,2024-01-01 12:11:00,283.87,Lunch Place,ACC_205
T172,2024-01-01 12:34:00,261.85,Staples,ACC_201
T197,2024-01-01 18:04:00,57.82,Uber,ACC_204
T007,2024-01-02 09:24:00,264.12,AWS,ACC_204
T030,2024-01-02 12:43:00,103.36,Lunch Place,ACC_201
T161,2024-01-02 13:42:00,240.99,Office Depot,ACC_205
T198,2024-01-02 13:43:00,229.92,Staples,ACC_201
T054,2024-01-02 16:22:00,191.64,AWS,ACC_205
T060,2024-01-02 18:54:00,27.09,Staples,ACC_202
T239,2024-01-03 08:59:00,7.95,Lunch Place,ACC_200
T160,2024-01-03 10:26:00,23.34,Lunch Place,ACC_202
T205,2024-01-03 10:49:00,10.13,Lunch Place,ACC_200
T155,2024-01-03 12:26:00,64.71,Lunch Place,ACC_204
T162,2024-01-03 13:33:00,153.75,Starbucks,ACC_204
T182,2024-01-04 09:34:00,227.95,Google Cloud,ACC_201
T038,2024-01-04 10:21:00,208.33,Office Depot,ACC_201
T176,2024-01-04 11:04:00,118.45,AWS,ACC_201
T167,2024-01-04 11:36:00,96.55,Starbucks,ACC_204
T179,2024-01-04 16:07:00,218.88,Google Cloud,ACC_204
T140,2024-01-04 18:27:00,106.94,Staples,ACC_203
T117,2024-01-05 12:14:00,223.04,Google Cloud,ACC_204
T095,2024-01-05 16:12:00,113.41,Staples,ACC_203
T168,2024-01-06 10:02:00,17.24,Starbucks,ACC_201
T139,2024-01-06 12:59:00,217.83,Starbucks,ACC_204
T100,2024-01-06 14:05:00,52.31,Lunch Place,ACC_201
T039,2024-01-06 18:18:00,59.59,Google Cloud,ACC_201
T186,2024-01-06 18:32:00,35.64,Starbucks,ACC_201
T157,2024-01-07 12:35:00,114.9,Starbucks,ACC_202
T083,2024-01-07 13:02:00,13.61,AWS,ACC_205
T040,2024-01-07 16:04:00,214.17,Lunch Place,ACC_202
T011,2024-01-07 16:24:00,180.08,Lunch Place,ACC_202
T077,2024-01-07 18:34:00,90.32,Google Cloud,ACC_204
T185,2024-01-07 18:46:00,241.77,Lunch Place,ACC_203
T112,2024-01-08 12:29:00,198.61,AWS,ACC_201
T236,2024-01-08 12:55:00,22.91,Starbucks,ACC_200
T089,2024-01-08 13:18:00,172.42,AWS,ACC_205
T101,2024-01-08 14:13:00,189.46,Lunch Place,ACC_202
T110,2024-01-08 14:34:00,267.17,AWS,ACC_201
T243,2024-01-08 14:56:00,14.04,Lunch Place,ACC_200
T154,2024-01-08 15:23:00,142.49,Starbucks,ACC_203
