transaction_id,date,amount,merchant,account_id
T157,2024-03-01 08:42:00,98.64,Staples,ACC_303
T054,2024-03-01 09:43:00,339.13,Office Depot,ACC_303
T175,2024-03-01 10:28:00,272.58,Lunch Place,ACC_303
T172,2024-03-01 11:28:00,73.48,Google Cloud,ACC_303
T198,2024-03-01 13:25:00,137.75,Office Depot,ACC_305
T059,2024-03-01 14:10:00,155.14,Starbucks,ACC_301
T135,2024-03-01 15:30:00,249.46,Starbucks,ACC_303
T020,2024-03-02 08:52:00,48.26,Office Depot,ACC_302
T045,2024-03-02 11:47:00,163.91,Google Cloud,ACC_303
T151,2024-03-02 12:18:00,237.67,Starbucks,ACC_304
T099,2024-03-02 15:59:00,170.19,AWS,ACC_302
T053,2024-03-03 09:06:00,86.37,Google Cloud,ACC_304
T196,2024-03-03 12:43:00,185.55,AWS,ACC_302
T019,2024-03-03 12:46:00,284.4,Starbucks,ACC_303
T028,2024-03-03 14:26:00,41.98,Office Depot,ACC_302
T040,2024-03-03 17:14:00,160.8,Lunch Place,ACC_305
T127,2024-03-03 17:52:00,154.77,Starbucks,ACC_301
T075,2024-03-04 11:09:00,365.01,Starbucks,ACC_303
T012,2024-03-04 12:07:00,97.16,Google Cloud,ACC_304
T090,2024-03-04 12:52:00,357.32,Office Depot,ACC_304
T037,2024-03-04 13:07:00,186.57,Staples,ACC_302
T155,2024-03-04 17:43:00,48.78,Starbucks,ACC_304
T142,2024-03-05 08:06:00,138.26,Uber,ACC_304
T061,2024-03-05 11:44:00,16.67,Starbucks,ACC_304
T097,2024-03-05 12:54:00,107.2,Uber,ACC_301
T158,2024-03-05 14:12:00,58.72,Google Cloud,ACC_304
T177,2024-03-06 10:47:00,219.09,Lunch Place,ACC_303
T051,2024-03-06 13:44:00,389.31,Google Cloud,ACC_303
T161,2024-03-06 14:01:00,128.44,Office Depot,ACC_304
T069,2024-03-06 15:14:00,261.1,Lunch Place,ACC_301
T159,2024-03-06 17:15:00,91.2,Uber,ACC_303
T152,2024-03-06 18:37:00,41.84,Lunch Place,ACC_304
T145,2024-03-07 09:49:00,87.99,Google Cloud,ACC_304
T025,2024-03-07 12:36:00,224.4,AWS,ACC_302
T005,2024-03-07 12:55:00,244.71,Uber,ACC_302
T100,2024-03-07 14:04:00,58.45,Staples,ACC_303
T187,2024-03-07 17:13:00,280.05,Starbucks,ACC_302
T139,2024-03-08 09:43:00,259.74,Lunch Place,ACC_304
T017,2024-03-08 12:17:00,107.86,Starbucks,ACC_302
T041,2024-03-09 08:52:00,257.68,AWS,ACC_304
T007,2024-03-09 11:01:00,184.56,Staples,ACC_303
T116,2024-03-10 10:39:00,53.21,Uber,ACC_304
T029,2024-03-10 13:49:00,273.85,Uber,ACC_302
T010,2024-03-10 16:44:00,137.84,Starbucks,ACC_303
T173,2024-03-11 11:28:00,266.53,AWS,ACC_305
T032,2024-03-11 13:23:00,245.19,Staples,ACC_301
T098,2024-03-11 14:25:00,228.04,Office Depot,ACC_301
T164,2024-03-11 16:32:00,194.24,Starbucks,ACC_304
T184,2024-03-11 18:43:00,182.12,Uber,ACC_301
T179,2024-03-11 18:55:00,247.49,Office Depot,ACC_301
T057,2024-03-12 08:42:00,154.94,Staples,ACC_305
T082,2024-03-12 09:58:00,122.51,AWS,ACC_305
T004,2024-03-12 16:15:00,176.94,Google Cloud,ACC_301
T150,2024-03-13 08:30:00,381.32,Uber,ACC_305
T018,2024-03-13 10:51:00,287.24,Starbucks,ACC_304
T101,2024-03-13 11:52:00,211.63,Staples,ACC_302
T024,2024-03-13 14:35:00,265.43,Starbucks,ACC_303
T084,2024-03-14 10:17:00,351.4,Google Cloud,ACC_301
T011,2024-03-15 09:31:00,279.29,Lunch Place,ACC_301
T105,2024-03-15 10:33:00,223.26,Office Depot,ACC_304
T160,2024-03-15 13:03:00,334.58,Office Depot,ACC_301
T085,2024-03-16 08:28:00,256.09,Google Cloud,ACC_304
T008,2024-03-16 10:02:00,98.51,AWS,ACC_305
T031,2024-03-16 10:23:00,267.68,Uber,ACC_305
T186,2024-03-16 10:39:00,356.27,Lunch Place,ACC_303
T194,2024-03-17 11:08:00,161.09,Staples,ACC_305
T166,2024-03-17 12:46:00,87.14,Google Cloud,ACC_303
T193,2024-03-17 14:16:00,354.63,Lunch Place,ACC_304
T180,2024-03-17 18:23:00,40.43,Uber,ACC_304
T121,2024-03-18 10:56:00,399.05,Lunch Place,ACC_304
T147,2024-03-18 13:28:00,58.55,Lunch Place,ACC_304
T089,2024-03-18 18:03:00,45.33,Uber,ACC_303
T087,2024-03-18 18:45:00,296.76,Starbucks,ACC_301
T103,2024-03-19 10:56:00,380.44,Uber,ACC_304
T174,2024-03-19 11:36:00,124.46,AWS,ACC_305
T134,2024-03-19 12:00:00,190.94,Lunch Place,ACC_302
T133,2024-03-19 12:50:00,99.39,AWS,ACC_305
T035,2024-03-19 13:45:00,172.95,Google Cloud,ACC_304
T062,2024-03-19 15:17:00,254.66,Office Depot,ACC_304
T120,2024-03-20 08:07:00,236.59,AWS,ACC_305
T129,2024-03-20 11:25:00,379.94,Starbucks,ACC_304
T132,2024-03-20 15:55:00,178.32,Starbucks,ACC_303
T073,2024-03-20 16:03:00,330.82,Google Cloud,ACC_303
T137,2024-03-20 16:16:00,217.11,AWS,ACC_301
T083,2024-03-21 14:57:00,130.35,Uber,ACC_303
T169,2024-03-21 16:00:00,24.62,Google Cloud,ACC_303
T130,2024-03-22 10:24:00,109.41,Uber,ACC_301
T190,2024-03-22 12:10:00,371.52,AWS,ACC_304
T195,2024-03-22 14:41:00,244.36,Office Depot,ACC_305
T030,2024-03-22 16:28:00,120.14,Starbucks,ACC_301
T181,2024-03-22 17:43:00,38.46,Google Cloud,ACC_301
T021,2024-03-23 08:54:00,245.68,Lunch Place,ACC_302
T113,2024-03-23 09:33:00,185.7,Office Depot,ACC_303
T117,2024-03-23 10:50:00,213.2,Staples,ACC_303
T171,2024-03-23 11:06:00,134.64,AWS,ACC_301
T153,2024-03-23 15:51:00,141.27,Staples,ACC_301
T033,2024-03-23 17:26:00,287.29,Uber,ACC_303
T072,2024-03-23 18:05:00,346.84,Office Depot,ACC_302
T074,2024-03-24 12:32:00,23.29,Starbucks,ACC_305
T058,2024-03-24 12:49:00,340.57,Lunch Place,ACC_305
T080,2024-03-24 13:41:00,50.86,Office Depot,ACC_304
T034,2024-03-24 14:59:00,186.31,Uber,ACC_301
T026,2024-03-24 16:10:00,255.48,Starbucks,ACC_303
T066,2024-03-25 09:03:00,343.53,Lunch Place,ACC_303
T071,2024-03-25 09:25:00,327.56,Starbucks,ACC_305
T052,2024-03-25 10:34:00,375.28,Google Cloud,ACC_305
T077,2024-03-25 15:59:00,328.16,Office Depot,ACC_304
T014,2024-03-25 16:58:00,133.5,Lunch Place,ACC_304
T104,2024-03-26 09:25:00,388.65,AWS,ACC_304
T078,2024-03-26 10:34:00,223.33,AWS,ACC_303
T165,2024-03-26 14:59:00,384.71,Google Cloud,ACC_303
T109,2024-03-26 15:49:00,72.69,Lunch Place,ACC_301
T136,2024-03-26 16:33:00,208.27,Office Depot,ACC_304
T182,2024-03-26 17:27:00,21.89,Lunch Place,ACC_304
T079,2024-03-26 18:20:00,138.57,Uber,ACC_303
T163,2024-03-27 08:14:00,342.1,Staples,ACC_304
T095,2024-03-27 10:41:00,383.81,Uber,ACC_303
T115,2024-03-27 14:55:00,78.9,Staples,ACC_304
T102,2024-03-27 18:29:00,275.08,Office Depot,ACC_303
T070,2024-03-28 13:23:00,198.95,Starbucks,ACC_303
T108,2024-03-28 16:49:00,364.05,Uber,ACC_303
T122,2024-03-28 18:39:00,384.69,Starbucks,ACC_304
T038,2024-03-28 18:53:00,16.05,Google Cloud,ACC_304
T156,2024-03-29 10:24:00,303.62,Google Cloud,ACC_304
T154,2024-03-29 11:16:00,235.86,AWS,ACC_305
T046,2024-03-29 12:50:00,183.47,Google Cloud,ACC_301
T093,2024-03-29 13:25:00,112.64,Staples,ACC_303
T118,2024-03-29 13:43:00,285.43,AWS,ACC_301
T044,2024-03-29 16:40:00,343.41,Starbucks,ACC_302
T143,2024-03-29 18:46:00,252.35,AWS,ACC_304
T049,2024-03-30 11:58:00,152.68,Starbucks,ACC_305
T060,2024-03-30 12:02:00,144.01,Google Cloud,ACC_302
T048,2024-03-30 12:10:00,31.93,Uber,ACC_304
T125,2024-03-30 12:12:00,94.44,Office Depot,ACC_303
T088,2024-03-30 12:14:00,388.34,Uber,ACC_304
T119,2024-03-30 12:45:00,325.48,Starbucks,ACC_304
T112,2024-03-30 13:01:00,18.35,Office Depot,ACC_302
T110,2024-03-30 15:04:00,148.97,Starbucks,ACC_304
